description,rNum,classification
"Dong Hai Xiang Surgical Mask is intended for use in healthcare settings, procedures during which a face mask is necessary to protect both patient and healthcare personnel from transfer of body fluids, microorganisms, and particulate material. The device is indicated to be over-the-counter use. adult only. The device is disposable and is indicated for single use. The device is not provided sterile",878.404,Surgical apparel
"QUATERA 700 is intended for the emulsification and removal of cataracts and anterior segment vitrectomy. In combination with various required components and accessories, the device is designed for use in anterior segment surgery. It provides capabilities for phacoemulsification, coaxial and bimanual irrigation/aspiration, bipolar coagulation and anterior vitrectomy.",886.467,Phacofragmentation system
"Spine & Trauma Navigation System is intended as an intraoperative image-guided localization system to enable open and minimally invasive surgery. It links a freehand probe, tracked by a passive marker sensor system to virtual computer image space on a patient's preoperative or intraoperative 2D or 3D image data. The system is indicated for any medical condition in which the use of stereotactic surgery may be appropriate and where a reference to a rigid anatomical structure, such as the skull, the pelvis, along bone or vertebra can be identified relative to the acquired image (CT, MR, 2D fluoroscopic image or 3D fluoroscopic image reconstruction) and/or an image data based model of the anatomy.",882.456,Stereotaxic instrument
"Sensuva Premium Silicone Personal Lubricant is a silicone-based personal lubricant for penile, anal and/or vaginal application, intended to moisturize and lubricate, to enhance the ease and comfort of intimate sexual activity and supplement the body’s natural lubrication. This product is compatible with natural rubber latex, polyisoprene and polyurethane condoms.",884.53,Condom
"INTContour provides a machine learning-based approach for the automatic segmentation of structures including treatment targets and organs at risk to support the radiation therapy treatment planning process. INTContour is intended as an initial method to segment and contour study series; therefore, this software must be used in conjunction with an appropriate software to edit the segmentation results if necessary. It is not intended to replace a thorough review by qualified medical professionals. INTContour is developed for use by dosimetrists, medical physicists, and radiation oncologists. The currently supported anatomical regions for automatic segmentation are head and neck, thorax, abdomen, and male pelvis.",892.505,Medical charged-particle radiation therapy system
The Tempo Tampon is intended for insertion into the vagina for the absorption of menstrual or other vaginal discharge.,884.547,Unscented menstrual tampon
"The iSE series electrocardiograph is intended to acquire ECG signals from adult and pediatric patients through body surface ECG electrodes. The electrocardiograph is only intended to be used in hospitals or healthcare facilities by doctors and trained healthcare professionals. The cardiogram recorded by the electrocardiograph can help users to analyze and diagnose heart disease. However, the interpreted ECG with measurements and interpretive statements is offered to clinicians on an advisory basis only. The electrocardiograph is capable of network communications and supports the informatized management of workflows in hospital and healthcare facilities.",870.234,Electrocardiograph
The Intri24 Sheath is indicated to provide a conduit for the insertion of endovascular devices into the vasculature while minimizing blood loss associated with such insertions.,870.134,Catheter introducer
"The Disposable Surgical Isolation Gown is intended to protect patients and health care personnel from the transfer of microorganisms, body fluids and particulate material. Not intended for use in the operating room. In addition, the disposable surgical isolation gown meets the requirements of a Level 4 barrier protection per ANSI/AAMI PB70:2012 -Liquid Barrier Performance and Classification of Protective Apparel Drapes Intended for Use in Health Care Facilities. The disposable surgical isolation gown is a single use, disposable medical device provided non-sterile.
medical device provided non-sterile.",878.404,Surgical apparel
"The EARP Interbody System is intended for intervertebral body fusion in the lumbar spine in skeletally mature patients 
with degenerative disc disease (DDD) at one or two contiguous levels from L2 to S1 of the lumbosacral spine. DDD is 
defined as back pain of discogenic origin with degeneration of the disc confirmed by history and radiographic studies. 
These patients should have had six months of non-operative treatment prior to treatment with an intervertebral cage. DDD 
patients may also have Grade 1 spondylolisthesis or retrolisthesis at involved levels. The device system must be used with 
supplemental fixation and autograft to facilitate fusion and is implanted via a posterolateral approach.",888.308,Intervertebral body fusion device
