genre,name,description,classification
Anesthesiology,enflurane gas analyzer,an enflurane gas analyzer is a device intended to measure the concentration of enflurane anesthetic in a gas mixture.,class ii (performance standards).
Anesthesiology,ventilatory electrical impedance tomograph,"a ventilatory electrical impedance tomograph is a prescription non-invasive, non-radiological ventilatory device that provides an assessment of local impedance variation within a cross-section of a patient's thorax.","class ii (special controls). the special controls for this device are:
(1) the patient-contacting components of the device must be demonstrated to be biocompatible.
(2) non-clinical performance testing must demonstrate that the device performs as intended under anticipated conditions of use, including the following:
(i) characterization of device parameters, including signal-to-noise ratio, voltage accuracy, drift, reciprocity accuracy, amplitude response, position error, and ringing;
(ii) real time evaluation of local impedance variation;
(iii) plethysmogram accuracy testing; and
(iv) use life testing of reusable components.
(3) performance data must validate reprocessing instructions for any reusable components of the device.
(4) performance data must demonstrate the electrical, thermal, and mechanical safety and the electromagnetic compatibility of the device.
(5) software verification, validation, and hazard analysis must be performed.
(6) labeling must include the following:
(i) guidance for interpretation of the images generated;
(ii) a warning that the device should be removed before use of a defibrillator, or defibrillator interaction information based on defibrillator performance testing with the device;
(iii) a use life for any reusable components; and
(iv) instructions for reprocessing any reusable components.
[84 fr 15098, apr. 15, 2019]"
Anesthesiology,gas collection vessel,a gas collection vessel is a container-like device intended to collect a patient's exhaled gases for subsequent analysis. it does not include a sampling pump.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38793, july 25, 2001]"
Anesthesiology,halothane gas analyzer,a halothane gas analyzer is a device intended to measure the concentration of halothane anesthetic in a gas mixture. the device may use techniques such as mass spectrometry or absorption of infrared or ultraviolet radiation.,class ii (performance standards).
Anesthesiology,helium gas analyzer,"a helium gas analyzer is a device intended to measure the concentration of helium in a gas mixture during pulmonary function testing. the device may use techniques such as thermal conductivity, gas chromatography, or mass spectrometry.",class ii (performance standards).
Anesthesiology,neon gas analyzer,a neon gas analyzer is a device intended to measure the concentration of neon in a gas mixture exhaled by a patient. the device may use techniques such as mass spectrometry or thermal conductivity.,class ii (performance standards).
Anesthesiology,nitrogen gas analyzer,a nitrogen gas analyzer is a device intended to measure the concentration of nitrogen in respiratory gases to aid in determining a patient's ventilatory status. the device may use techniques such as gas chromatography or mass spectrometry.,class ii (performance standards).
Anesthesiology,nitrous oxide gas analyzer,a nitrous oxide gas analyzer is a device intended to measure the concentration of nitrous oxide anesthetic in a gas mixture. the device may use techniques such as infrared absorption or mass spectrometry.,class ii (performance standards).
Anesthesiology,oxygen gas analyzer,"an oxygen gas analyzer is a device intended to measure the concentration of oxygen in respiratory gases by techniques such as mass spectrometry, polarography, thermal conductivity, or gas chromatography. this generic type of device also includes paramagnetic analyzers.",class ii (performance standards).
Anesthesiology,oxygen uptake computer,an oxygen uptake computer is a device intended to compute the amount of oxygen consumed by a patient and may include components for determining expired gas volume and composition.,class ii (performance standards).
Anesthesiology,pressure plethysmograph,a pressure plethysmograph is a device used to determine a patient's airway resistance and lung volumes by measuring pressure changes while the patient is in an airtight box.,class ii (performance standards).
Anesthesiology,volume plethysmograph,"a volume plethysmograph is an airtight box, in which a patient sits, that is used to determine the patient's lung volume changes.",class ii (performance standards).
Anesthesiology,inspiratory airway pressure meter,an inspiratory airway pressure meter is a device used to measure the amount of pressure produced in a patient's airway during maximal inspiration.,class ii (performance standards).
Anesthesiology,rhinoanemometer,"a rhinoanemometer is a device used to quantify the amount of nasal congestion by measuring the airflow through, and differential pressure across, a patient's nasal passages.",class ii (performance standards).
Anesthesiology,diagnostic spirometer,a diagnostic spirometer is a device used in pulmonary function testing to measure the volume of gas moving in or out of a patient's lungs.,class ii (performance standards).
Anesthesiology,monitoring spirometer,a monitoring spirometer is a device used to measure continuously a patient's tidal volume (volume of gas inhaled by the patient during each respiration cycle) or minute volume (the tidal volume multiplied by the rate of respiration for 1 minute) for the evaluation of the patient's ventilatory status.,class ii (performance standards).
Anesthesiology,peak-flow meter for spirometry,a peak-flow meter for spirometry is a device used to measure a patient's maximum ventilatory flow rate.,class ii (performance standards).
Anesthesiology,gas volume calibrator,a gas volume calibrator is a device that is intended for medical purposes and that is used to calibrate the output of gas volume measurement instruments by delivering a known gas volume.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38793, july 25, 2001]"
Anesthesiology,pulmonary-function data calculator,a pulmonary-function data calculator is a device used to calculate pulmonary-function values based on actual physical data obtained during pulmonary-function testing.,class ii (performance standards).
Anesthesiology,predictive pulmonary-function value calculator,a predictive pulmonary-function value calculator is a device used to calculate normal pulmonary-function values based on empirical equations.,class ii (performance standards).
Anesthesiology,diagnostic pulmonary-function interpretation calculator,a diagnostic pulmonary-function interpretation calculator is a device that interprets pulmonary study data to determine clinical significance of pulmonary-function values.,class ii (performance standards).
Anesthesiology,esophageal stethoscope,an esophageal stethoscope is a nonpowered device that is inserted into a patient's esophagus to enable the user to listen to heart and breath sounds.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to § 868.9.
[47 fr 31142, july 16, 1982, as amended at 65 fr 2313, jan. 14, 2000]"
Anesthesiology,esophageal stethoscope with electrical conductors,an esophageal stethoscope with electrical conductors is a device that is inserted into the esophagus to listen to a patient's heart and breath sounds and to monitor electrophysiological signals. the device may also incorporate a thermistor for temperature measurement.,class ii (performance standards).
Anesthesiology,stethoscope head,"a stethoscope head is a weighted chest piece used during anesthesia to listen to a patient's heart, breath, and other physiological sounds.","class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 54 fr 25048, june 12, 1989; 66 fr 38793, july 25, 2001]"
Anesthesiology,switching valve (ploss),"a switching valve (ploss) is a three-way valve located between a stethoscope placed over the heart, a blood pressure cuff, and an earpiece. the valve allows the user to eliminate one sound channel and listen only to a patient's heart or korotkoff (blood pressure) sounds through the other channel.","class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9. the device is also exempt from the current good manufacturing practice requirements of the quality system regulation in part 820 of this chapter, with the exception of § 820.180, with respect to general requirements concerning records, and § 820.198, with respect to complaint files.
[47 fr 31142, july 16, 1982, as amended at 54 fr 25048, june 12, 1989; 66 fr 38793, july 25, 2001]"
Anesthesiology,water vapor analyzer,a water vapor analyzer is a device intended to measure the concentration of water vapor in a patient's expired gases by using techniques such as mass spectrometry.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38793, july 25, 2001]"
Anesthesiology,ultrasonic air embolism monitor,an ultrasonic air embolism monitor is a device used to detect air bubbles in a patient's blood stream. it may use doppler or other ultrasonic principles.,class ii (performance standards).
Anesthesiology,bourdon gauge flowmeter,a bourdon gauge flowmeter is a device intended for medical purposes that is used in conjunction with respiratory equipment to sense gas pressure. the device is calibrated to indicate gas flow rate when the outflow is open to the atmosphere.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,uncompensated thorpe tube flowmeter,an uncompensated thorpe tube flowmeter is a device intended for medical purposes that is used to indicate and control gas flow rate accurately. the device includes a vertically mounted tube and is calibrated when the outlet of the flowmeter is open to the atmosphere.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,compensated thorpe tube flowmeter,"a compensated thorpe tube flowmeter is a device intended for medical purposes that is used to control and measure gas flow rate accurately. the device includes a vertically mounted tube, with the outlet of the flowmeter calibrated to a reference pressure.","class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,gas calibration flowmeter,a gas calibration flowmeter is a device intended for medical purposes that is used to calibrate flowmeters and accurately measure gas flow.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,breathing frequency monitor,"a breathing (ventilatory) frequency monitor is a device intended to measure or monitor a patient's respiratory rate. the device may provide an audible or visible alarm when the respiratory rate, averaged over time, is outside operator settable alarm limits. this device does not include the apnea monitor classified in § 868.2377.","class ii (performance standards).
[47 fr 31142, july 16, 1982, as amended at 67 fr 46852, july 17, 2002]"
Anesthesiology,apnea monitor,an apnea monitor is a complete system intended to alarm primarily upon the cessation of breathing timed from the last detected breath. the apnea monitor also includes indirect methods of apnea detection such as monitoring of heart rate and other physiological parameters linked to the presence or absence of adequate respiration.,"class ii (special controls). the special control for this device is the fda guidance document entitled ""class ii special controls guidance document: apnea monitors; guidance for industry and fda.""
[67 fr 46852, july 17, 2002]"
Anesthesiology,nitric oxide analyzer,the nitric oxide analyzer is a device intended to measure the concentration of nitric oxide in respiratory gas mixtures during administration of nitric oxide.,"class ii. the special control for this device is fda's ""guidance document for premarket notification submissions for nitric oxide administration apparatus, nitric oxide analyzer, and nitrogen dioxide analyzer.""
[65 fr 14465, mar. 3, 2000]"
Anesthesiology,nitrogen dioxide analyzer,the nitrogen dioxide analyzer is a device intended to measure the concentration of nitrogen dioxide in respiratory gas mixtures during administration of nitric oxide.,"class ii (special controls). the device, when it is a standalone nitrogen dioxide analyzer and not those that are components of nitric oxide delivery systems intended to monitor nitrogen dioxide levels during inhaled nitric oxide therapy, is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9. the special control is fda's ""guidance document for premarket notification submissions for nitric oxide administration apparatus, nitric oxide analyzer, and nitrogen dioxide analyzer."" see § 868.1(e) for the availability of this guidance document.
[65 fr 11465, mar. 3, 2000, as amended at 84 fr 71811, dec. 30, 2019]"
Anesthesiology,lung water monitor,a lung water monitor is a device used to monitor the trend of fluid volume changes in a patient's lung by measuring changes in thoracic electrical impedance (resistance to alternating current) by means of electrodes placed on the patient's chest.,"class iii (premarket approval).
(c) date pma or notice of completion of a pdp is required.
a pma or a notice of completion of a pdp for a device is required to be filed with the food and drug administration on or before july 12, 2000, for any lung water monitor that was in commercial distribution before may 28, 1976, or that has, on or before july 12, 2000, been found to be substantially equivalent to a lung water monitor that was in commercial distribution before may 28, 1976. any other lung water monitor device shall have an approved pma or declared completed pdp in effect before being placed in commercial distribution.
[47 fr 31142, july 16, 1982, as amended at 52 fr 17735, may 11, 1987; 65 fr 19834, apr. 13, 2000]"
Anesthesiology,cutaneous carbon dioxide (pcco2) monitor,"a cutaneous carbon dioxide (pcco2) monitor is a noninvasive heated sensor and a ph-sensitive glass electrode placed on a patient's skin, which is intended to monitor relative changes in a hemodynamically stable patient's cutaneous carbon dioxide tension as an adjunct to arterial carbon dioxide tension measurement.","class ii (special controls). the special control for this device is fda's ""class ii special controls guidance document: cutaneous carbon dioxide (pcco2) and oxygen (pco2) monitors; guidance for industry and fda."" see § 868.1(e) for the availability of this guidance document.
[54 fr 27160, june 28, 1989, as amended at 67 fr 76681, dec. 13, 2002]"
Anesthesiology,cutaneous oxygen (pco2) monitor,"a cutaneous oxygen (pco2) monitor is a noninvasive, heated sensor (e.g., a clark-type polargraphic electrode) placed on the patient's skin that is intended to monitor relative changes in the cutaneous oxygen tension.","class ii (special controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9. the special control is fda's ""class ii special controls guidance document: cutaneous carbon dioxide (pcco2) and oxygen (pco2) monitors; guidance for industry and fda."" see § 868.1(e) for the availability of this guidance document.
[67 fr 76681, dec. 13, 2002, as amended at 84 fr 71811, dec. 30, 2019]"
Anesthesiology,pneumotachometer,a pneumotachometer is a device intended for medical purposes that is used to determine gas flow by measuring the pressure differential across a known resistance. the device may use a set of capillaries or a metal screen for the resistive element.,"class ii (special controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 84 fr 71811, dec. 30, 2019]"
Anesthesiology,airway pressure monitor,an airway pressure monitor is a device used to measure the pressure in a patient's upper airway. the device may include a pressure gauge and an alarm.,class ii (performance standards).
Anesthesiology,gas pressure gauge,"a gas pressure gauge (e.g., bourdon tube pressure gauge) is a device intended for medical purposes that is used to measure gas pressure in a medical gas delivery system.","class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,gas pressure calibrator,a gas pressure calibrator is a device intended for medical purposes that is used to calibrate pressure-measuring instruments by generating a known gas pressure.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,pressure regulator,"a pressure regulator is a device, often called a pressure-reducing valve, that is intended for medical purposes and that is used to convert a medical gas pressure from a high variable pressure to a lower, more constant working pressure. this device includes mechanical oxygen regulators.","class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,electrical peripheral nerve stimulator,an electrical peripheral nerve stimulator (neuromuscular blockade monitor) is a device used to apply an electrical current to a patient to test the level of pharmacological effect of anesthetic drugs and gases.,class ii (performance standards).
Anesthesiology,differential pressure transducer,a differential pressure transducer is a two-chambered device intended for medical purposes that is often used during pulmonary function testing. it generates an electrical signal for subsequent display or processing that is proportional to the difference in gas pressures in the two chambers.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,gas flow transducer,a gas flow transducer is a device intended for medical purposes that is used to convert gas flow rate into an electrical signal for subsequent display or processing.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1119, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,gas pressure transducer,a gas pressure transducer is a device intended for medical purposes that is used to convert gas pressure into an electrical signal for subsequent display or processing.,"class i. the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1120, jan. 16, 1996]"
Anesthesiology,emergency airway needle,an emergency airway needle is a device intended to puncture a patient's cricothyroid membrane to provide an emergency airway during upper airway obstruction.,class ii (performance standards).
Anesthesiology,retrograde intubation device,"a retrograde intubation device is a prescription device used to perform retrograde intubation via the cricothyroid membrane. the device may contain or be labeled for use with guidewires and intubating catheters, in addition to needles (§ 868.5090), syringe (§ 880.5860 of this chapter), and hemostats (§ 878.4800 of this chapter).","class ii (special controls). the special controls for this device are:
(1) non-clinical performance testing must demonstrate that the device performs as intended under anticipated conditions of use, including the following:
(i) wire guide tensile, flex, fracture, and corrosion testing;
(ii) catheter tensile strength testing at likely points of failure;
(iii) catheter kink radius testing;
(iv) compatibility of device components that interact, including compatibility in connection, disconnection, and ability to transfer fluids;
(v) dimensional validation;
(vi) accuracy testing of markings; and
(vii) validation of the maximum airway pressure.
(2) performance data must support the shelf life of the device by demonstrating continued sterility, package integrity, and device functionality over the identified shelf life.
(3) the device must be demonstrated to be biocompatible.
(4) labeling must include:
(i) instructions for use; and
(ii) package labels that clearly identify the minimum compatible size of endotracheal tube.
[86 fr 73678, dec. 28, 2021]"
Anesthesiology,nasopharyngeal airway,a nasopharyngeal airway is a device used to aid breathing by means of a tube inserted into a patient's pharynx through the nose to provide a patent airway.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1120, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,external negative pressure airway aid,an external negative pressure airway aid is a prescription device that applies negative pressure to a patient's neck to aid in providing a patent airway during procedures requiring anesthesia.,"class ii (special controls). the special controls for this device are:
(1) clinical performance testing must document any adverse events observed during clinical use, including impaired blood flow, and demonstrate that the device performs as intended under anticipated conditions.
(2) non-clinical performance testing must demonstrate that the device performs as intended under anticipated patient positions, does not fail during use, and does not lose negative pressure capability. the following testing should be performed:
(i) ability of the device to maintain a seal during various patient positions;
(ii) device leakage testing to demonstrate the device maintains vacuum;
(iii) drop testing to ensure the device does not incur functional damage after dropping the device; and
(iv) functional testing after high and low storage temperature.
(3) all patient contacting components must be demonstrated to be biocompatible.
(4) labeling must include:
(i) a summary of clinical testing results, including any adverse events and evidence that effectiveness has been achieved.
(ii) technical specifications of the device, including collar sizes, maximum duration of use, operating temperature, and storage temperature range.
(iii) technical specifications of the vacuum source, including maximum vacuum level and operational vacuum level.
(iv) instructions for use that includes how to place the device, determination of size, verification of suction, reference to training materials, and information on troubleshooting the device if it does not attach properly.
(v) a warning to screen patients for carotid artery disease due to the probable risk of the device to dislodge arterial plaques in the carotid artery.
(vi) a warning to exclude patients with anatomical abnormalities.
(vii) a warning not to use the device during medical procedures involving medications that contain propofol.
[82 fr 60867, dec. 26, 2017]"
Anesthesiology,oropharyngeal airway,an oropharyngeal airway is a device inserted into a patient's pharynx through the mouth to provide a patent airway.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1120, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,device to relieve acute upper airway obstruction,"the device is a raised, rounded pad that, in the event of choking on a foreign body, can be applied to the abdomen and pushed upward to generate expulsion pressure to remove the obstruction to relieve acute upper airway obstruction.","class ii (special controls) (""class ii special control guidance document for acute upper airway obstruction devices""). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter, subject to § 868.9.
[65 fr 39099, june 23, 2000; 65 fr 47669, aug. 3, 2000]"
Anesthesiology,anesthesia conduction catheter,an anesthesia conduction catheter is a flexible tubular device used to inject local anesthetics into a patient and to provide continuous regional anesthesia.,class ii (performance standards).
Anesthesiology,anesthesia conduction filter,an anesthesia conduction filter is a microporous filter used while administering to a patient injections of local anesthetics to minimize particulate (foreign material) contamination of the injected fluid.,class ii (performance standards).
Anesthesiology,anesthesia conduction kit,"an anesthesia conduction kit is a device used to administer to a patient conduction, regional, or local anesthesia. the device may contain syringes, needles, and drugs.",class ii (performance standards).
Anesthesiology,anesthesia conduction needle,an anesthesia conduction needle is a device used to inject local anesthetics into a patient to provide regional anesthesia.,class ii (performance standards).
Anesthesiology,check,check,check
Anesthesiology,nitric oxide administration apparatus,the nitric oxide administration apparatus is a device used to add nitric oxide to gases that are to be breathed by a patient. the nitric oxide administration apparatus is to be used in conjunction with a ventilator or other breathing gas administration system.,"class ii. the special control for this device is fda's ""guidance document for premarket notification submissions for nitric oxide administration apparatus, nitric oxide analyzer, and nitrogen dioxide analyzer.""
[65 fr 11465, mar. 3, 2000]"
Anesthesiology,laryngotracheal topical anesthesia applicator,a laryngotracheal topical anesthesia applicator is a device used to apply topical anesthetics to a patient's laryngotracheal area.,class ii (performance standards).
Anesthesiology,rocking bed,"a rocking bed is a device intended for temporary use to help patient ventilation (breathing) by repeatedly tilting the patient, thereby using the weight of the abdominal contents to move the diaphragm.","class ii (special controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 84 fr 71811, dec. 30, 2019]"
Anesthesiology,blow bottle,a blow bottle is a device that is intended for medical purposes to induce a forced expiration from a patient. the patient blows into the device to move a column of water from one bottle to another.,"class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9. if the device is not labeled or otherwise represented as sterile, it is exempt from the current good manufacturing practice requirements of the quality system regulation in part 820 of this chapter, with the exception of § 820.180, with respect to general requirements concerning records, and § 820.198, with respect to complaint files.
[47 fr 31142, july 16, 1982, as amended at 54 fr 25048, june 12, 1989; 66 fr 38794, july 25, 2001]"
Anesthesiology,anesthesia breathing circuit,"an anesthesia breathing circuit is a device that is intended to administer medical gases to a patient during anesthesia. it provides both an inhalation and exhalation route and may include a connector, adaptor, and y-piece.","class i (general controls). the device is exempt from the premarket notification procedures in subpart e of part 807 of this chapter subject to the limitations in § 868.9.
[47 fr 31142, july 16, 1982, as amended at 61 fr 1120, jan. 16, 1996; 66 fr 38794, july 25, 2001]"
Anesthesiology,breathing circuit circulator,a breathing circuit circulator is a turbine device that is attached to a closed breathing circuit and that is intended to circulate anesthetic gases continuously by maintaining the unidirectional valves in an open position and reducing mechanical dead space and resistance in the breathing circuit.,class ii (performance standards).
Anesthesiology,breathing circuit bacterial filter,a breathing circuit bacterial filter is a device that is intended to remove microbiological and particulate matter from the gases in the breathing circuit.,class ii (performance standards).
Anesthesiology,breathing system heater,a breathing system heater is a device that is intended to warm breathing gases before they enter a patient's airway. the device may include a temperature controller.,class ii (performance standards).
Anesthesiology,positive airway pressure delivery system,a positive airway pressure delivery system is a prescription noninvasive ventilatory device that delivers expiratory positive airway pressure for patients suffering from obstructive sleep apnea. the system also provides positive airway pressure during incipient apnea. the system may include a dedicated flow generator and a patient interface.,"class ii (special controls). the special controls for this device are:
(1) the patient-contacting components of the device must be demonstrated to be biocompatible.
(2) non-clinical performance testing must demonstrate that the device performs as intended under anticipated conditions of use, including the following:
(i) waveform testing must simulate breathing conditions and evaluate pressure and airflow response over a range and combination of high and low breath rates and tidal volumes.
(ii) use life testing must demonstrate adequate device performance over the labeled use life of the device.
(iii) device integrity testing must demonstrate that the device can withstand typical forces expected during use.
(iv) carbon dioxide rebreathing testing must be performed.
(v) system flow rate, maximum expiratory pressure, inhalation pressure, and intra-mask static pressure testing must be performed.
(vi) air bolus testing must demonstrate that the device can withstand worst-case scenario air pressures.
(vii) maximum limited pressure testing of the flow generator in single fault condition must be performed.
(viii) maximum output temperature testing of delivered gas, if humidified, must be performed.
(3) performance data must validate reprocessing instructions for any reusable components of the device.
(4) performance data must demonstrate the electrical, thermal, and mechanical safety and the electromagnetic compatibility of the device.
(5) software verification, validation, and hazard analysis must be performed.
(6) labeling must include the following:
(i) therapy pressure range;
(ii) use life and replacement schedule for all components;
(iii) cleaning instructions; and
(iv) instructions for assembly and connection of device components.
[83 fr 52966, oct. 19, 2018]"
